10e1-row.csv,s,ms,µs
1,0.03,30,29588
2,0.03,31,30877
3,0.03,33,33110
4,0.03,32,32004
5,0.03,30,29867
6,0.03,26,26449
7,0.03,30,29813
8,0.03,35,34523
9,0.03,27,27481
10,0.03,31,31446
11,0.03,33,32890
12,0.03,33,33490
13,0.02,22,21513
14,0.03,30,30080
15,0.03,33,33451
,0.03,30.44,"30,438.80"
,,,
,,,
10e2-row.csv,s,ms,µs
1,0.24,244,244287
2,0.22,224,223644
3,0.28,277,276641
4,0.27,274,273581
5,0.22,218,217521
6,0.30,300,300003
7,0.20,200,199740
8,0.22,222,222394
9,0.26,264,263694
10,0.24,244,243522
11,0.24,242,241573
12,0.24,243,242655
13,0.23,226,225835
14,0.22,218,218252
15,0.20,196,195831
,0.24,239.28,"239,278.20"
,,,
,,,
10e3-row.csv,s,ms,µs
1,2.52,2523,2522945
2,2.55,2547,2546783
3,2.47,2472,2472242
4,2.47,2472,2471553
5,2.47,2469,2468661
6,2.45,2454,2453851
7,2.46,2462,2461957
8,2.62,2625,2624686
9,2.45,2450,2449706
10,2.53,2534,2534043
11,2.36,2362,2362279
12,2.49,2487,2486612
13,2.64,2639,2638621
14,2.71,2708,2708035
15,2.59,2585,2585379
,2.52,"2,519.16","2,519,156.87"
,,,
,,,
10e4-row.csv,s,ms,µs
1,30.73,30729,30729278
2,29.46,29459,29459056
3,26.89,26886,26885979
4,26.47,26471,26471279
5,26.04,26045,26044659
6,32.94,32940,32939920
7,26.11,26110,26110003
8,25.36,25365,25364564
9,26.32,26323,26322758
10,33.22,33223,33222598
,28.36,"28,355.01","28,355,009.40"
,,,
,,,
10e5-row.csv,s,ms,µs
1,0.00,0,0
2,0.00,0,
3,0.00,0,
4,0.00,0,
5,0.00,0,
6,0.00,0,
7,0.00,0,
8,0.00,0,
9,0.00,0,
10,0.00,0,
,0.00,0.00,0.00
