10e1-row.csv,s,ms,µs
1,0.046331,46.331,46331
2,0.030877,30.877,30877
3,0.116779,116.779,116779
4,0.030179,30.179,30179
5,0.125095,125.095,125095
6,0.024487,24.487,24487
7,0.061898,61.898,61898
8,0.099021,99.021,99021
9,0.030296,30.296,30296
10,0.028139,28.139,28139
11,0.030113,30.113,30113
12,0.071671,71.671,71671
13,0.110776,110.776,110776
14,0.03047,30.47,30470
15,0.018357,18.357,18357
,0.0569659333333333,56.9659333333333,56965.9333333333
,,,
,,,
10e2-row.csv,s,ms,µs
1,0.307799,307.799,307799
2,0.269025,269.025,269025
3,0.180866,180.866,180866
4,0.215699,215.699,215699
5,0.173481,173.481,173481
6,0.191825,191.825,191825
7,0.245918,245.918,245918
8,0.185634,185.634,185634
9,0.224972,224.972,224972
10,0.153598,153.598,153598
11,0.237781,237.781,237781
12,0.204176,204.176,204176
13,0.264739,264.739,264739
14,0.183982,183.982,183982
15,0.179805,179.805,179805
,0.21462,214.62,214620
,,,
,,,
10e3-row.csv,s,ms,µs
1,1.565022,1565.022,1565022
2,1.638733,1638.733,1638733
3,1.615907,1615.907,1615907
4,1.561932,1561.932,1561932
5,7.481432,7481.432,7481432
6,1.605895,1605.895,1605895
7,1.640824,1640.824,1640824
8,1.589468,1589.468,1589468
9,1.569007,1569.007,1569007
10,8.14177,8141.77,8141770
11,1.621423,1621.423,1621423
12,1.572736,1572.736,1572736
13,1.598965,1598.965,1598965
14,1.599349,1599.349,1599349
15,3.659883,3659.883,3659883
,2.5641564,2564.1564,2564156.4
,,,
,,,
10e4-row.csv,s,ms,µs
1,23.140058,23140.058,23140058
2,15.468129,15468.129,15468129
3,23.624455,23624.455,23624455
4,16.015587,16015.587,16015587
5,15.59591,15595.91,15595910
6,15.552201,15552.201,15552201
7,18.44985,18449.85,18449850
8,15.235471,15235.471,15235471
9,15.629197,15629.197,15629197
10,15.501509,15501.509,15501509
,17.4212367,17421.2367,17421236.7
,,,
,,,
10e5-row.csv,s,ms,µs
1,169.305961,169305.961,169305961
2,158.645292,158645.292,158645292
3,160.711944,160711.944,160711944
4,162.535938,162535.938,162535938
5,156.636116,156636.116,156636116
6,160.286493,160286.493,160286493
7,155.672444,155672.444,155672444
8,159.127713,159127.713,159127713
9,155.586883,155586.883,155586883
10,161.273374,161273.374,161273374
,159.9782158,159978.2158,159978215.8
,,,
,,,
10e6-row.csv,s,ms,µs
1,1600.400794,1600400.794,1600400794
2,1604.914422,1604914.422,1604914422
3,1680.47246,1680472.46,1680472460
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
,488.5787676,488578.7676,1628595892
